review_title,review_text,sentiment
Fabulous!,i bought this cooler on heavy discount by flipkart cooler is build of good quality material it has a fast fan with powerfull motor pump air quality is excellent even for a big room a must buy value for money product,positive
Very satisfactory,the good things1 very well packed good amount of thermocols to protect from transport damages2 sturdy body3 relatively less noise as compared to bajaj cooler i had earlierwish this was betterfor many purposes it is necessary to open cooler body opening the body of cooler is not very intuitive common consumers may not even attempt for fear of damaging something 1 easy opening of side frames to change pads or clean the water inlets2 water balloon used to cut water supply au,positive
Good quality product,excellent producthappy with resultnice air flowosm cooling,positive
Mind-blowing purchase,cooler works fine and it is inverter friendly,positive
Waste of money!,small wire and moter capacity is very low fan speed was not good out flow vent hole is above the lower part of cooler its very difficult to change water,negative
Must buy!,perfect product for large size room,Positive
Good not best,average cooling not much as expected by size and reviews of cooler cooling is sufficient maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity,positive
Must buy!,product was amazing cooling capacity awsum pls go for ahead a big thumbs up ,positive
Does the job,good,positive
Nice,received dalay 10 days cooler is ok when i was reveived switch damaged,negative
Worth the money,big oneworking good 2days of use hope will work for long run,positive
Pretty good,good product nice air flow and no noice,positive
Good cooler,in this price good cooler,Positive
Wonderful,is good for many,Positive
Wonderful,it is an awesome product light weight easy to use and having lot of features,Positive
Worthless,the product doesnt cool as rated by other customers the cooling is very slow very wrost product i recommend to not buy this item wastage of money ,positive
Great product,looks like monster cooler it is working as awesome,positive
Great product,very nice product thank you flipkart,positive
Must buy!,very good,positive
Good quality product,good cooler it occupies more space looks very large but good for hall it covers all the places,positive
Decent product,very impressive coolerpros stylish energy efficient 165 watt very good air throw and cooling summersible pumpcons very bulky take more place than other no wheel lack of ice box,positive
Brilliant,best cooler i bought 6884,positive
Super!,excellent cooler in this price rangepros1 air throw is very powerful even when u run it at slow speed setting 2 cooling and tank capacity3 ergonomics cons1 if you want to clean the cooler then opening the pads is very cumbersome process if you have placed it on some flat surface then also draining the old water is very difficult overall v good cooler apart from above cons and considering price,Positive
Worst experience ever!,cooler not provide cool air because 1year experience,negative
Perfect product!,a good product in budget,Positive
Wonderful,packaging excellent value for money product,positive
Simply awesome,delivered within 2 days working good,positive
Nice product,efficient for large roomspros1 low noise of fan2 inverter friendly3 cools large rooms fastly and easily4 it have aroma chamber in which you can add tablet of frangrance to counter smell of woodwool pads5 it have 2 section for air flow which means you can adjust it to get air for double decker cot equallycons1they should have provided stand of castor wheel for it to move2 it should have ice chamberwill update more about it in future,Positive
Worth the money,better than the steel cooler less noise and value for money,
Useless product,dont buy maharaja whiteline coolers they have cheap aluminum motors that are good for at max 2 years repair cost of these motors is so high that u would want to sell rather than repair them,positive
Excellent,very nice product and delivery is satisfied,positive
"Like an assembled, one can get for 4.5K Cheap Quality",no quality product1 the wood wool has started falling out from the next day2 out of two led indicator has found not working on arrival3 the air swinger is already giving noise when moving which never used to be in my old cooler which i am using since 3 years4 the quality is no way machine to branded coolers5 anti bacterial tank has been bacterial now as there is no way to clean it so congested to maintain it cleanlyin my way think before you buyac has option to aut,negative
Simply awesome,air throw is very good it makes room very cool in just half an hour full tank capacity is 65 litres which stays up to 5 hours it makes big living room colder not very much noisy,positive
Great product,on time delivery received exact productthank u flipkart,Positive
Wonderful,maharaja always no 1,positive
Wonderful,awesome product love this,Positive
Not good,poar quality plastic material is not good,negative
Very Good,value for money,positive
Super!,nice cooler,positive
Terrific purchase,fantastic product great cool,Positive
Slightly disappointed,dont buy just by seing the comments dont know how people review and rate the product cooling is ok but when it comes to fill the water you would need inlet pipe to fill the water we cannot open from the backsides to fill the watercleaning is highly impossible because there is no way you can open and clean worst design other small small branded companies provide all those facilities but this is worst product design totally unhappy with this product,negative
Good quality product,best at its price,positive
Expected a better product,this is my review after using this product for a week1air throw is good2produce less noise3good product at reasonable pricebut it never open from behindnot easy to cleanrefill the watercable is short,positive
Horrible,cooling fan problem,negative
Nice,after discount rs 7200 price is okquality is okdelivery as on time okmotor speed 1200 rpm okpump okcolour is ok look is also okwater storage is appx 65 ltd more than 3 large bucket is okstill giving 3 star because it is a large in size and in width not fit to my window not expectedwill give next rating after couple of month usagethanx flipkart,positive
Good quality product,product is really worthy of price 8k however it occupied more space in room should one consider it before buy it worth for that money,positive
Simply awesome,mind blowing very good for hall and for big wondow its really big in size quality is nice must buy,Positive
Mind-blowing purchase,good and sufficient size,positive
Highly recommended,awesome,positive
Fabulous!,good product,positive
Brilliant,best product,positive
Great product,very good,positive
Highly recommended,good product delivery on time ,positive
Must buy!,nice product deliver in time,positive
Terrific purchase,i honestly liked the productbest desert cooler at lowest price i got the deal of 6889nice brand good built quality with precision to eachgood switches and knobs to controltakes space as its hugevery silentnot high but good speed fan to cool upto upto 12 feetno ice tray but its not a mattergo for it,
Very poor,dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,Negative
Mind-blowing purchase,awesome product,Positive
Terrific purchase,very good product,positive
Good quality product,valu for money,positive
Wonderful,nice to,positive
Useless product,worst product fan speed very slowlike nothing,negative
Terrific purchase,best product,positive
Simply awesome,big size mostly like industrial cooler but within this price and my house is big it is perfect no wheels but can buy stand and it works fine if you have close home and less space go for other options,positive
Unsatisfactory,very bad service by flipkart customer care representative and jeeves agent too much bad performance no cooling just like a stand fan,negative
Really Nice,oh really really very good i am so happy,Positive
Unsatisfactory,low air and not cooling as axcpected,Negative
Best in the market!,super cooling system,positive
Highly recommended,very nice working,Positive
Classy product,excellent performance,positive
Good quality product,good ,positive
Best in the market!,wonderful product can go for it,positive
Good quality product,really desert cooler super cool ,positive
Brilliant,very good product water flow must be slow from pump but its okay,positive
Absolute rubbish!,water inlet is not good,Negative
Terrific,awesome,positive
Terrific purchase,owsum product,positive
Just okay,not so good,negative
Nice product,cooler is really very good but use any cooler ventilation os a must without ventilation no cooler will work especially in rainy seasonproduct is original was delivered safely this review is after a week,positive
Good quality product,ice product,positive
Perfect product!,not working motors and very bad poor maharaja cooler,Negative
Must buy!,very good product worth buying,Positive
Perfect product!,good product,positive
Bad quality,fan speed is slow and making lot of noise,positive
Mind-blowing purchase,nice cooler perfect for hall,positive
Worth the money,very good cooling,
Worst experience ever!,average production,neutral
Really Nice,awesome,positive
Fabulous!,awesome,Positive
Highly recommended,nice product,Positive
Fabulous!,good aircoolr,positive
Good quality product,nice,positive
Great product,good condition best cooling,positive
Really Nice,good product,positive
Wonderful,good,positive
Just wow!,superb nice coolingsimply awesome unbeatable at this price range,positive
Good quality product,build quality is better than symphony jumbo 70however cooling is a bit lesser and noise a bit more than symphony jumbo 70a larger tank capacity of 90100 ltr with aspen pads is desirable,positive
Just okay,product quality is very bad and fan blade broken air flow average,negative
Super!,good product,positive
Nice,nice product,positive
Fabulous!,amazing,positive
Worthless,this cooler is not not cooling the room,negative
Worth every penny,excellent,Positive
Worth the money,cooling system is good,positive
Absolute rubbish!,speed of cooler is slower than fan after one week of use,positive
Super!,awesome for big rooms,Positive
Very Good,cooler is good but sige is big colling good prise 6500the cooler is good but its airing speed is lowmakes very little noise and is good to watch,positive
Really Nice,good product,positive
Just okay,speed is very slow,neutral
Terrific purchase,very good product in all respect it is one of the best desert cooler in the market and finally thanks to flipkart product designer manufacturersit looks simple but cooling effect is amaging ,Positive
Mind-blowing purchase,very good,positive
Highly recommended,awesome,positive
Very poor,not satisfied with the cooling very bad cooling,negative
Mind-blowing purchase,i think that it is small but it is big and colling is excellent,positive
Terrific purchase,very nice product i am happy,positive
Best in the market!,i like it it is good,positive
Excellent,good,positive
Delightful,the product is very good and the product was delivered on time,positive
Wonderful,very nice,positive
Great product,as expected its fit to 150sqft room cool air,positive
Worst experience ever!,fan speed low and do not proper cooling,positive
Terrific,excellent ,Positive
Value-for-money,good but its too big,positive
Fabulous!,superb cooler it cools room within 5 minute amazing cooler amazing price,positive
Good choice,good quality product drain system needs improvement,Positive
Must buy!,best cooler in market,Positive
Good quality product,smart cooling we are using the cooler in fan speed of one feeling like winter thanks maharaja,positive
Wonderful,thanks,positive
Very Good,fantastic product thanks maharaja filpcart,
Excellent,awesome ,positive
Very poor,very useless service,Negative
Mind-blowing purchase,good,positive
Classy product,occupies space but is worth it,Positive
Wonderful,nice cooler with strong and quality built using it from last 2 months,positive
Worst experience ever!,if ur staying in hot city this is waste dont buy,negative
Just wow!,excellent,positive
Nice,cooler is good but very dirty smell ,Negative
Absolute rubbish!,not effective cooling fan area of effect is also very narrow not ideal returned it,negative
Decent product,built quality is not up to the mark overall avearge,Neutral
Mind-blowing purchase,awesome,positive
Hated it!,very bad product its water tank is not sufficient for a day tank empty in 4 hours and not open easily for cleaning,negative
Useless product,wrost cooler ever purchased not even 10 feet throw build quality is not upto mark purchase another good brand cooler instead of this,positive
Wonderful,good working in maharaja,positive
Awesome,nice cooler you can go for it,positive
Super!,fabulous,positive
Good quality product,value for money,positive
Fair,cooling very late n water will come slowly,neutral
Worth the money,good but how to wash the cooler its tension,Positive
Good choice,nice products,positive
Good,fan speed is low but great cooling,positive
Simply awesome,good cooler for big rooms water lasts full night works best with cross ventilation highly recommended,positive
Value-for-money,very good and smooth working all functions are very good but wood grass all side bad improve side honeycomb cooling pad,positive
Absolute rubbish!,waste of money ,negative
Unsatisfactory,not god air thorw not god quality not accepted,negative
Good quality product,cheap and best cooler even good for extreme summer,positive
Mind-blowing purchase,nice product,positive
Awesome,i am very happy,positive
Terrific,nice,positive
Nice,air throw weak,Negative
Wonderful,super,Positive
Terrible product,too much big size,neutral
Super!,best,positive
Best in the market!,just awsm its cooling beats many expensive branded cooler price is also very decent comparing other coolers,
Good choice,good,Positive
Terrific purchase,its a big coolerair throw is good cooling is also good build material is sturdy water inlet shuld be little bit big overall i am satisfied with the product,positive
Super!,good cooling low noise better daily change the water to avoid smell separate water hose required for water loading,
Good choice,good quality,Positive
Best in the market!,very good in time delivery beautiful organization from flipcortthank you,positive
Not recommended at all,very bad product bad quality low air flow not useful product waist money before 100 time think purchasing this product this product r not refundable all flipkart assistant was misguid,negative
Awesome,delivery of the product is amazing as usual and delivery person is also very helpful,positive
Terrific,i am writing a review after using it for 4 days this cooler is very nice size is jumbo cooling starts in the room after a while at night,Positive
Delightful,i am giving 4 star but its deserv 10 out 9 i m cutting 1 star due to stand and water indicator once stand n water indicator will include this will be become the best nice air cooling super design power air throught range no sound overall worth to buy,positive
Very Good,nice product,positive
Perfect product!,yes its quite goodyou can go for it nicely deliveredthank you flipkart,positive
Perfect product!,value for money,positive
Super!,very good,positive
Hated it!,very poor product and heavy smell through out the room received damaged,negative
Decent product,ok,neutral
Terrific,this is aws product at healthy price its worth to buy,positive
Excellent,very nice ,Positive
Terrific,i was vary of buying coole online as i cannot check the airflow or faults before purchasing but this cooler really changed my mind i did extensive research watched reviews and at the end selected this this is a beast of a cooler the airflow is absolutely amazing for this sizzling weather this cooler really throws cool air one advice always keep your coolers in a fully ventilated area like outside a window then you will see how great it works this was a great purchase and if you a,positive
Simply awesome,nice,positive
Brilliant,very good product very nice cooling,positive
Classy product,good one very less noise,positive
Wonderful,good,positive
Best in the market!,its greatworks like an ac,positive
Best in the market!,best coolerlow noise and better cooling,positive
Best in the market!,super,positive
Did not meet expectations,delivered the product on time but the demo was not done even after two weeks for which the amount is already deducted complaint was raised but they are dragging that will be done in 24 hours but many 24 48 hours have gone,negative
Wonderful,awaesome cooler it is better than symphony,positive
Classy product,flipkart delivery very nice and product in this time good,positive
Just wow!,cooler is so good and cooling bestthank you flipkart,Positive
Terrific,good one,positive
Very Good,nice product cooling air,positive
Fabulous!,best air cooler ,
Simply awesome,after use of one week in extreme conditions i feel this cooler works very fine strongly recommend to buy this product,positive
Delightful,looks good purchase and economical tge power cord should have been 5 meters or 6 meters length instead of existing 2 meters given the huge size if this desert cooler,Positive
Value-for-money,its best small family,positive
Very poor,extremely horrible servicedo not order,negative
Nice product,extremely good productgood product for lower floor and not good for the top floor,positive
Terrific,verry good indian fast desert coolar verey verry nise product,positive
Value-for-money,air cooler is better im happy recived your product ,
Wonderful,good product,positive
Decent product,we found inside fan bed will not fixed properly and also bolt nuts fall inside further remaing all ok,positive
Must buy!,nice product,positive
Mind-blowing purchase,awesome product,positive
Super!,good cooler,positive
Highly recommended,very good product on very first day it fell on the floor from table with full water but quality of product is too good still working thankyou flipkart ,positive
Super!,fantastic cooling,positive
Excellent,nice cooling,positive
Good,please share a good operating manual how are we supposed to flush out water nothing like mentioned also dismantling back needs a specialist please design in such way where even elders can operate,positive
Horrible,worst product dont waste your money,Negative
Fabulous!,excellent product,positive
Perfect product!,nice cooler awesome product,positive
Decent product,blade of cooler fan is broken,negative
Badly disappointed,air delivery is very bad not even cooling 10x13 room,negative
Fabulous!,very nice,Positive
Good,performance reduced after 2 months,neutral
Perfect product!,its more than my expectations iam so happy and as usual excellent flipkart service,positive
Terrible product,worst model all user please dont buy,Negative
Unsatisfactory,not good,negative
Fabulous!,super,positive
Just wow!,nice product,positive
Highly recommended,overall good product cons come without stand,positive
Good quality product,good product nd fast delivery,positive
Just okay,good bt without wheel or stand very difficult to move,negative
Excellent,best product with resionable price,positive
Mind-blowing purchase,it is ok,neutral
Value-for-money,good,positive
Worth every penny,nice product,positive
Brilliant,coling is best another cooler,positive
Wonderful,coolar is good but suggest that i thinks wheel also provide in coolar for easy movement,positive
Terrific purchase,good to go,positive
Unsatisfactory,very huge in size cooling no good feels air just like normal fan,positive
Value-for-money,awesome,positive
Not good,worst,negative
Excellent,cooler chilled the room very fast,positive
Nice,its good but size is too big,positive
Just wow!,its huge and secondly its as good as ac but the problem is you cannot control the cooling its good if you have a 1500 sqft house,positive
Wonderful,it is perfect for your daughter marriage items no doubt it is big and it is room cooler,positive
Brilliant,amazing product it works wonders in 45c and always go for wood woolen pads as theyre better than honeycomb,Positive
Best in the market!,very good product dont think much more go for it absolutely value of money,positive
Very Good,it is big moving it is problematic it would have been easier to clean if the side panels were easily removable does a decent job of cooling the room,Positive
Worth the money,good product,positive
Must buy!,its very good products in online its very well,positive
Wonderful,good,positive
Utterly Disappointed,its a very poor quality product dont buy its,negative
Really Nice,good with price,Positive
Mind-blowing purchase,too good product,Positive
Pretty good,excellent cooler happy with it,positive
Awesome,very good product in low price its our second plastic cooler and i am happy with its cooling and other features in future i definitely buy it again and recommend to others also thanks flipkart,positive
Terrible product,worst product ,Negative
Does the job,plastic quality is not that strong as of symphony coolers,negative
Excellent,very good product,positive
Decent product,not upto the reviews build up level too bulky quite noisy lack of wheel is biggest disadvantage buy at your own risk not happy overall,Negative
Did not meet expectations,nonetheless i gives the feel of ac,negative
Absolute rubbish!,this product does not cool as much as it was written in the advertisement i am not so happy with this product,Negative
Very Good,good,Positive
Good quality product,yup satisfied ,positive
Does the job,air flow is not that good,negative
Nice,no stand and little noisy cooler,negative
Worth the money,very nice product,positive
Worth the money,good onebut still sounds generated by cooler are very noisymust buy stand with this cooler ,positive
Perfect product!,nice product thanks to flipkart for early delivery special thanks to delivery boy for gentle behaviour ,positive
Value-for-money,nice product with decent price,positive
Pretty good,prompt delivery satisfied value for money,positive
Excellent,its awesome cooler,positive
Best in the market!,good,positive
Not good,good product but the only drawback is to clean it the nob in bottom available to drain water but that is not helpful if you dont have trolley,Positive
Excellent,excellent product water consumption is good if anyone plan to buy cooler then i recommended only the rambo,
Super!,best cooler heavy duty stong body,positive
Perfect product!,good product,positive
Delightful,product is very good quality of product is also goodthanks flipkart for providing safe and on time delivery,positive
Moderate,not cooling,negative
Very poor,no expected speed and not cooling this product,Negative
Horrible,there are no wheels to move coolerits very hard to place cooler after filling waterhorrible experiencedont go for this,Negative
Perfect product!,have one or two very small negligible issues otherwise product is very good completely cools the room,positive
Super!,fantastic coolar nice cooling like ac,positive
Worth every penny,nice product cooling and speed is good,positive
Fabulous!,good,positive
Wonderful,nice cooling nice products but body isnt properly fit,neutral
Best in the market!,superb cooler in this price,positive
Wonderful,awesome,positive
Absolute rubbish!,please dont buy this productafter 1 month fan is not work properbuy blower fan cooler blower fan cooler is best,positive
Mind-blowing purchase,nice cooler cooling awesome,positive
Nice product,very nice product,positive
Simply awesome,super cooling,positive
Really Nice,excellent product,positive
Delightful,nice prodouct,positive
Super!,excellent air cooler,
Really Nice,overall very goodbut warranty card 3 month ago,Neutral
Wonderful,good air cooler value for money sound is very less build quality need to be improve,Positive
Best in the market!,super very good product,Positive
Terrific purchase,nice one no need of ac,positive
Fabulous!,fantastic cooler in this range chilled more than expected,positive
Fabulous!,good,positive
Delightful,simple super,Positive
Excellent,good product,positive
Worth every penny,working great three side cooling pad has increased its efficiency the fan speed and airflow amount could be better it is very difficult to put water from the front a lot of design flaws but at this price point its better than other brand products for optimal comfort and cooling the cooler needs to put outside the room in an open space or near the window of a wellventilated room,positive
Brilliant,awesome product if possible pls provide wheel stand with product,Positive
Terrific purchase,good product the only draw back is there is no space for putting ice,positive
Just okay,unable to open to change water or grass,negative
Excellent,nice product with good blower and fast cooling a real satisfaction for money,positive
Horrible,dont buy any one,negative
Bad quality,built quality is good but fan is not much powerful as expected it is good for small room i am going to return it,Positive
Excellent,this is best air cooler within 8k price tag,positive
Value-for-money,cooling is perfect,positive
Good,good quality,positive
Must buy!,awesome in everythingvalue for moneynice cooling,positive
Really Nice,cooler is jabardast but not honeycomb pad,neutral
Classy product,very good product in this price,Positive
Perfect product!,minimum price maximum performance,Positive
Perfect product!,fantastic products in such low price go for this without hesitation,positive
Worth every penny,superb,
Worth every penny,very nicecooling very goodsize big,positive
Worth the money,nice product,positive
Value-for-money,first thing cooler is very silent at the lowest speed noise is minimalsecond all the other things is equivalent to 1015000 price cooler,negative
Just wow!,very nice product i am satisfied this order,positive
Pretty good,wanted to give 5 but to handle this huge cooler atleast it should have wheels at the bottom unfortunately its not available,positive
Fabulous!,nice product,positive
Good quality product,awesomeproductbest cooling,positive
Worth every penny,very very nice product,positive
Nice,product does not working defective please return,positive
Delightful,best performance and minimum soundthanku flipkart,positive
Mind-blowing purchase,superb go for it,positive
Good,wonderfull,Positive
Best in the market!,good productdelivered in few days,Positive
Terrible product,no doubt it is good in this price,Negative
Must buy!,awesomefull satisfied,
Fabulous!,excellent cooling at this price rangedelivered as per the date expected,Positive
Classy product,good,positive
Terrific purchase,veri nice desert cooler size of the cooler exceed the expectations timely delivered,Positive
Good quality product,thank u flipcart for quick delivery,positive
BEST PRODUCT AND BEST BUY,thanks to flipcart very fast delivery boys are with corona precautions best cooler but need to give more plug wire and stand this is not a cooler feel like ac,positive
Utterly Disappointed,dont buy this product total waste of money and time fan speed slowly decreasing and cooling is not that good consistent,
Classy product,one of the best cooler good use plastic meterialbest cooling,positive
Mind-blowing purchase,very good product,positive
Pretty good,value for money good,Positive
Simply awesome,its good,positive
Highly recommended,good man,positive
Classy product,superb cooling,positive
Just wow!,super ,positive
Must buy!,perfect cooler as its name maharaja and gives very cool air in hot and dry climate,positive
Excellent,super cool and quality,positive
Worth every penny,excellent team safe hygiene deliveryproduct working really great,Positive
Super!,noiselessair pressure n speed awesomecooling like acreally worth it product colour design all r decent,positive
Awesome,product is good and the behavior of delivery boy is also good nice product flipkart thankyou,positive
Must buy!,nice product in this price,positive
Good quality product,cooling best minimum sound fan speed goodbut some parts of the cooler are missingno service avaialblewe called flipcart they didnt respond properly finally we got the spare parts from local service shop,positive
Classy product,low on noise high capacity big inner space for cooling,positive
Wonderful,good product and nice coolingbut its accupy large place it suitable in hall,positive
Just wow!,best cooler i got it for 7k ,positive
Classy product,good but there is have no stand thats much desopointed,negative
Good choice,very cool,positive
Fair,nice cooler,positive
Wonderful,excellent but its big sound as compare to others cooler,positive
Fabulous!,very nice product go without second thought it is far better than 70 l also as pad is wood wool it is better than hone bee its chilled the room within 15 min purchase blidenly,positive
Very Good,nice cooler in this range ,Positive
Pretty good,cooler is good and nice coolingnice service nice coolling,positive
Perfect product!,this cooler is cool ,positive
Nice product,everything was superbonly this was it doesnt have wheels under it,positive
Very Good,nice cooler,positive
Worth every penny,excellent cooler received it two days back it makes my room very cool even in mumbai the delivery boys were also very polite prompt delivery,positive
Not recommended at all,not good water leaking after one month return period,negative
Pretty good,good produt,
Just okay,good,positive
Terrific purchase,affordable and best quality,Positive
Good choice,good,positive
Brilliant,excellent,positive
Hated it!,not support after shell warranty,negative
Classy product,thanks ,positive
Worth every penny,good cooling minimum power consumption over all good,positive
Worth the money,good product but no instructions it is very difficult to clean it so i think its better to give instructions to open and usage also,positive
Value-for-money,super,positive
Highly recommended,amazing purchase,positive
Good,ok,neutral
Very poor,rh levels getting down at room may be due to wooden cooling padsentire human body getting sweatlocal made is better than thiswaste of money,positive
Not recommended at all,send damage product dont buy,negative
Simply awesome,great product,positive
Just wow!,excellent cooler excellent air flow super cooling almost silence functionsturdy bodysmart looking coolerthank to maharaja white line and flipkart,Positive
Good quality product,its just take lots of water,positive
Worth every penny,very nice best cooler must buy,Positive
Just wow!,its simply awesome all in one just go for it,positive
Very Good,plastic body is weak rest everything is good,positive
Worth the money,overall product is good only problem is to move the cooler it doesnt have wheels and also water inlet is provided in the bottomnice product,positive
Terrific,superb cooling,positive
Must buy!,one of the best best product,Positive
Terrific purchase,good cooling,Positive
Super!,i am so happy for this purchase quality of product is very good,positive
Excellent,nice product,positive
Really Nice,nice,Positive
Mind-blowing purchase,built solid cooling super effective it has water indicator fan is very sturdy as well have been using it since few days overall quite satisfied untill now proper desert cooler powerful,Positive
Simply awesome,very nice products,positive
Wonderful,size too big guuz so much bigger than expected it can occupy 2man sitting place,Neutral
Just wow!,its too good boss i am very happyi was purchased in 6434rs in 31mayi recomded this product in air cooler but its too large so pls saw the image than purchased,positive
Don't waste your money,fan speed is maximum 3 hoursthen slow action speedcustomer care support badnot responcedont buyu think buy other brands,positive
Wonderful,good,Positive
Great product,very good,Positive
Brilliant,perfact,positive
Excellent,nice cooler,positive
Terrific purchase,very nice cooler after using for constant seven days today im writing itits worth the money ,positive
Worth the money,nice cooler at this price,positive
Just okay,good but not exact what i expect,positive
Bad quality,too big,neutral
Brilliant,nice product big sizeworth of money fast delivery,positive
Good,its ok,neutral
Worth the money,worth it,Positive
Value-for-money,nice cooler,positive
Perfect product!,v good cooler,positive
Perfect product!,i love it,positive
Value-for-money,very fast delivery thank you,positive
Best in the market!,good,Positive
Simply awesome,good item,positive
Just wow!,it is working well and cost i think is some high but product is so good,
Good,good one,positive
Worth every penny,awesome product by maharaja whiteline,Positive
Great product,very good product,Positive
Highly recommended,i loved this item worth the 7500 rupees its too big than whatever we expected ,Positive
Nice product,product is good not got suitable stand,positive
Just wow!,nice cooler,positive
Mind-blowing purchase,good,positive
Excellent,best in my room,positive
Highly recommended,nice super,positive
Brilliant,good cooler,positive
Worth every penny,very nice recommended,positive
Utterly Disappointed,item is vry bad i hate flipcart item this watch is,Negative
Brilliant,good productbuying worst,negative
Classy product,its very powerful and best workingi like it but size is issuevery big sizes,
Very Good,working properlylike this cooler,positive
Best in the market!,nice product superb cooling and supersilent,Positive
Delightful,overall product is very nice only drawback is it is large in size,positive
Must buy!,super,positive
Must buy!,very good cooler feeling like ac in summer,positive
Expected a better product,it is suitable for 1 man only,Neutral
Excellent,i love it,positive
Just wow!,please take care of size before purchasing otherwise product is great i buy it in 8000 with 2 years of extended warranty,positive
Good quality product,its work awesome luv it,positive
Must buy!,good product as expected cooling room more than expected thanks to flipkart for fast delivery and genuine product,positive
Classy product,worthy,positive
Excellent,good,positive
Worth the money,good delivery value for money best cooler ever,positive
Nice product,built quality is very good there is no light indicator in this cooler,positive
Awesome,god quality,positive
Terrific purchase,good,Positive
Wonderful,you can also buy without any hesitation ,positive
Awesome,nice product working is good,positive
Nice product,very good product,positive
Must buy!,nice product value for money,positive
Worth every penny,very nice cooler gives cool air even without any water thoughtfully made by the brand maharaja whiteline well done maharaja whiteline and good job by flipkart for delivering such a big appliance without any damage ,positive
Good quality product,very good air cooler,positive
Wonderful,good product,Positive
Just okay,very good product,positive
Super!,very nice,positive
Good choice,very good item very nice thank you flipkart,positive
Fabulous!,great deal perfect cooling,Positive
Moderate,room is not cooling cooler is throughing only normal air,neutral
Perfect product!,awesome product,positive
Perfect product!,the cooler is really nice light body with decent air throw real value for money,positive
Good quality product,gud,positive
Value-for-money,its good preoduct nice,positive
Worth the money,best then voltas symphony and other brands but without trolley which i made myself,positive
Perfect product!,excellent cooler,positive
Bad quality,speed not good very slow,Negative
Good,good quality,positive
Terrific,good product,positive
Worth every penny,amazing n big air cooler i love it,positive
Simply awesome,very good product,positive
Simply awesome,nice,positive
Awesome,using from a month now and results are good,positive
Brilliant,good product,positive
Product is Good but Huge in size,in fact product performance is very good but it occupied lot of space since which is huge in sizesmall rooms are very difficult to accommodate and also fan gives more sound since motor capacity is powerful even in low speed 1and also drain points at bottom of cooler so which is very difficult to drain water and always need to lift to cleanchange the water more over main drawback is product does not carry stand and need to purchase separatelyapart from these every thing is pretty w,positive
Highly recommended,awesome product go for it genuine price affordablegood working low noise good delivery,Positive
Horrible,waste of money dont buy,
Great product,nice working with great colling it has low noise and cool air it cools hole room it is very nice,positive
Mind-blowing purchase,nic,positive
Fabulous!,very nice ,positive
